,Name,Message,Party_Affiliation
329,Nicole Bisson Martin,['Flush the turd nov 3rd dump trump 2020'],1
330,Norma LeDuc Konopka,['Trump/Pence 2020 and vote red '],0
331,Ollie Burnham,"['Trump 20/20', 'Shelly Gingras your like a kid you make no sense ', 'I don’t claim to be an English writer I make a lot of mistakes but not about this you’re worried about my using the English word the correct way when in reality you should be worried about cities like Seattle or Chicago with all the burning looting and shootings all run by democrats that’s what you should worry about and we need a man like Trump to straighten that out ', 'How many people get off a plane and wave to an empty field hint sleepy Joe Biden', 'Leila Thompson how about Quarter master second floor ladies department that was said bye your man sleepy Joe and how about when goes on the stand when he is discussing his policies the people who are asking questions of him they are reporters that have been selected by his election committee and they’ll only be five all given selected questions to ask I might add', 'Shelly Gingras their is no one so blind as he who can not see the forest thru the trees', 'Why would anyone trust the safety of our country to a man that can’t even finish a sentence he gets all fouled up and forgets what he is talking about Trump 20/20 and keep your worthless sign']",0
332,Orvell Tyrrell,['Trump 2020 Sununu 2020'],0
333,Pam Charbono,"['Dems are voting against 20 week limits on abortion.', 'Susan Fortier They most certainly did', 'Jesse Ross .u are wrong ...they voted for it a few months ago!', 'What did Dems shove in there for pork to make him veto it?', ""U mean like voting for abortion up to 8 months like Dems did...that's just wrong...all for choice but that's too much!"", 'Richard Scarponi Oh yeah ..I trust someone who got convicted for bank fraud...not!', ""Mark Flint The Heroes Act will not pass with funding for illegals and stopping deportations..not related to covid...that's why it didn't pass the Senate...Pelosi needs to do a clean bill not more pork for her special interests!"", ""Maureen Provost Corrigan I'm sure I will before this circus is over!"", 'Quinn Golden Q: How close do you have to be to someone who is positive or shedding the virus to become infected, and for how long? What if they have no symptoms?\n\nA: National health experts say that some of those infected with the virus have no symptoms – yet some are unwittingly spreading the virus, accounting for widespread community transmission.\n\nThe U.S. Centers for Disease Control and Prevention recommends that Americans wear non-medical masks to curb the spread of the virus, but strongly cautions that wearing a mask does not replace social distancing.\n\nClose contact is defined as being within approximately 6 feet of someone who is positive for COVID-19, including those who may not yet be showing symptoms.  Experts say that contact with someone positive for the virus for about 10 minutes or longer can result in transmission.\n\nThe time from exposure to symptom onset, known as the incubation period, is three to 14 days, but symptoms typically appear within four or 5 days.', 'Quinn Golden I just tried', 'Quinn Golden calm down u wanted proof I sent it', ""Quinn Golden I just sent article couldn't get it to paste..wasn't personal"", 'Quinn Golden Google it..', 'Fred DeCicco ur rude...typical', 'Fred DeCicco ur rude...typical', 'Fred DeCicco ?????', 'Fred DeCicco ?????', 'New info was on Google and UMC...University of Mississippi article..I said that...', 'People are being paid to trash this country and Dems allow it..please rethink ur choice..it is frustrating to see but playing political games in a pandemic is just wrong!', ""Mike Patsos ur choice...but I have watched Dems trash the Constitution, the Border Patrol and our Law Enforcement, change and break rules on their corrupt committees as they go for 4 years in Congress...spend millions on fake investigations ...abuse their power and abuse the courts in their quest to get rid of Trump...ridiculous...maybe try some real info by watching a Congressional hearing or two and you will see who is really playing games...career politicians need to go..all of them..u may not like how Trump talks or what he says but he has done more for this country and the people than any President in 50 years...trade deals...immigration...middle east policy and the economy.. as well as killing terrorists Dems defend? What exactly did Biden do during H1N1...nothing!...take the blinders off and stop the hatred ...at least Trump is not telling other countries what he's doing and sending billions to Iran or blackmailing Ukrainian officials to cover for his son as Biden did and admitted...u may wanna rethink voting for that salamander! "", 'Pam Charbono I stand corrected...University of Missippi says 10 minutes for contact to get covid...the ever changing virus...they had said 30 minutes..before...others....when talking of quarantining...who do u believe at this point? ', 'Quinn Golden not a lie ..people need to read and not listen to these news people...it is deadly and contagious but can be slowed with cdc guidelines..Pelosi is no better...all hypocrites!', ""Mike Patsos I know they all are but this election has brought out the worst in all..Dems have lost it...Some\n Republicans as well..they need to unite and stop the games..when it's not safe in our cities ..they go too far! The Blame game is old...they need to do their jobs!"", ""Richard Scarponi ur opinion..I'm entitled to mine as well!"", ""Mike Patsos what do u think Dems are doing? Passing all this unrelated pork is not helping frontline workers businesses or Americans...only illegals...they've already had hearings on illegals and been voted down...wrong and slimy from the swamp!"", ""U do ur research I'll do mine thanks...or not..obviously!"", 'Jen Brown try the cdc website', ""Pretty sure not...Democrats need a strictly covid bill not paying for illegals and stopping deportations...read the Heroes Act...that's why relief is not passing cause Pelosi wants more unrelated crap she already got three times..it's wrong to play games with people's lives in a crisis!"", 'How stupid...posing for a picture is not a long time ...to get covid u have to be exposed for more than 30 minutes ..come on people get real info...ridiculous!', 'Louise Migliore better than the corrupt partisan..do nothing Dems...they need to pass COVID relief and stop playing games!', 'U are pathetic pass COVID relief!', 'There is no proof of this!', 'Such crap!', ""Purr Gow Whalley he's already been there ..he can multi task!"", 'Trump 2020']",0
334,Pam Currier,"[""Good try! President Trump's Executive order overrides this.""]",0
335,Pam Michael,"['He is a Viet Nam decorated veteran ,dummy.', 'Please look up socialism and communism..seems you and many people do not understand the difference or deliberately misuse it just to scare people..dumb.!Melania`s father was a member i the Communist Party..he now resides n th US by chain migrlaton ook t up.It is a fact!It seems Trump people say everything is false unless it is complementary to their corrupt and hateful leader that hid with a false deferment because daddy bought off a doctor while my friends died in Nam.Then he insults John McCain...Trump is a disgrace!', 'Just Google it...', 'Elizabeth Babel Jones This info needs to be shared by the media to the general public..now. I called WMUR about his being investigated in Colorado for misuse of his charty in Col..let us see if the report it! There shoul be an add about all of this..people do not know.', 'Thei nfo on him need to get out to the general media not just Dem froums.People have alredy started o vote and no one knows about!! Whyisn`t shaheens eople putting this out?!', 'Three chares  on him so far...none on Shehewn  but a lot of bills to help NH  people.. You are mislead or have been living under a rovk. He is known for what he is  in Colorado sohe comes to NH ..Not wel c ones nor fit to represent NH. Go home and face your charges! ', 'He does not know the difference( on purose) between Socialism and Communism.', 'Why aren`t the Dems publicizing that he is being investigated in  Colorado(he is not a NH person)  for fraud with his (misuse) of his charity?!', 'Linda Pry West Ok so with the environment laws being destroyed, a corr Pres ident  who let`s his felon  friends take the fall for him, wants to take away health coverage for people with preconditions,  defund sour public schools, insults our war heroes, hides hi income tax, takes money from his chairtable organization for himself(proven), believes Putin over our intelligence community, hires hookers,does not respect our 3 divisions of power and the Constitution, blocked witnesses for a fair trial,insults  disabled people and our veterans..yup..if Trump get rellcted it will be like living in an outhouse...he is full of sh...t and a disgrace.', 'Hmm you truly do not hive a sh.it.', 'Debra Garbacz you live  and work in Ma..', 'By the way my family are all hard working ..I worked from the age of 16 to 72. This crap that Dems want free stuff is twisted ....Trump does not pay taxes and hides his...never worked just inherited money. By the way sometimes your fellow Americans need help....that is not because thy want free stuff.The. if oil companies get much more of our tax money with subsidies thy do not need.Than you for serving so how can ou support someone that insults proper like John McCain, our generals and intelligence community. He hid behind a fake different while our friends died ssrving.. He is an insult to my family that served.', 'Please lk up the word socialist and stop throwing it around to scare people. also, look up how t is used now in  this  country  in use of our taxes . Please look up Communism too ..different than socialism. We fought communism not socialism in the cold war..gwwz. Also, Melania`s  father was an active in the Commuist Party and her parents came here by chain migration.Look t up if you do not believe me.', 'Shheen got more federal funds for NH  than any other state to help with the opiod crisis . What are you taking..your comment is nuts.', 'Really?! I am the daughter of two WW2 vets Joan Falsani Tafe US ARmy Air Corp Nurse and Frank Tafe USS Iowa . I served in the Federal gov. dealing with secure communications in my early years. I lost a family member to injuries in Viet Nam, iIhave a family member serving in the Air Force now. May serving and have served are Democrats and stop trying t defend Trump who got a false deferment from serving because daddy id for t while my friends died in Nam  . Thr use of the term ""liberal"" to attack anyone stating facts as if we are not patriotic is getting stale and is just stupid. If you have anyone receiving social Security in your family, unemployment or medicaid because they have a disability you can thank a ""liberal"". ', 'I come from three generations of veterans, both my parents were veterans ...WW2 Lt. Joan Falsani Tafe Army air nurse and Frank Tafe US NAvy USS Iowa.I have lost family members due to injuries serving and I served in Federal Secure Communications Dept when I was younger in my 20`s. I have a family member US AIR ', 'Wow..that is a stretch.Where did you get your PHD or MD? Have you seen him answer questions with detail and FACTUAL info nor lies as the bafoon Trump. He will stagger sometimes be a use he had a stuttering issue as a child bt overcame it. Annunciation has nothing to do with cognitive capacity. A compulsive liar such as Trump who even puts people in danger is a psyological and issue...Yup is unfit to be President.  Trump proplevare becoming like a cult...follow the leader no matter what...and make things up ..SAD UNpatriotic IGNORANT', 'Your reply shows your mentality or lack of it...Trump supporter. Sad.', 'Biden is not fit to be President? And Trump is....? Wow!have you been living under a rock or just brainwashed ? Trump is a disgrace! ', 'Can we look at the whole picture here...not just about your 401. I have that too but a lot more on the line here and he has caused a big in tease in the rise of the national deficit.His tax plan was ""a hoax"" .', 'It is documented and they were caught and the feds said they had to stop. Look it up.', 'If anyone cares about the environment how can you possibly support Trump? He has rid of many environmental laws and is trying to open up federal lands to drilling.', 'Steal...have the Trump people ignored Trump is under investigation for fraud and is hiding his tax returns....show me the tax returns!!And all his. Buddeys and Lawyers are felons...Guiloan  next. Wake up!', 'Typical Trump supporter...Trump is obnoxious rude hateful and ignorant and....there you go....What decent person mocks a disabled persons insults some one like John McCain and is surrounded by felons? Disgraceful...not a patriot!', nan, 'NH pays taxes on other things...restaurant meals high property taxes registrations etc to compensate for no sales tax. ', 'They are good exposure and show support.', ""If the GOP keep cutting help to middle Americans and giving breaks to big business and Trump's felon friends people might need to burn things for heat."", 'Typical follower of the orange one....hateful and non factual. Brainwashed Trumpsters.. .', nan, 'Told ya...', 'Tree farms are good things. Environment fir wild animals and help climate change.', 'Democratic party paid b people to loot and attack police...no facts on that, they would be in jail and an absurd desperate  BS.. Military and police in my familty....you are very gullible or nuts. Go by what the professionals in intelligence say....not right wing nut cases or Fox ', 'Government agencies CURRENTLY are reporting Russian interterference Some people need to watch something other than Fox and not getting real and current facts.', ""It is known now that the GOP is paying people to go on Biden sites and make negative remarks and the Russians aRe at it again.Trump has been all around disruptive ...Don't fall for this rubbish.MAKE AMERICA GREAT AGAIN...DUMP TRUMP.! !"", 'The woman CHOSE to keep the child of rape. It was not forced on her.If you are raped ou can get immediate medical care to end the start of a pregnancy. Most CHOOSE to do that.Their right.', 'Then be sure all children have enough,loving homes, food, medical care and equal education...and are not put in cages away from their parents because they were brought here, Hypocritical.', 'It would be a painful and dangerous thing. I am.sure it is rare but we do not know...only God would. If so,also, the woman dooes  not want to be a mother so an early abortion is probably the best thing.', 'Only the doctor,  the woman and if a partner and their clergy or family would know that. You do not. ', 'Have you had your head in the sand fir the past 4 years. Trump uses unacceptable language and makes comments unfit for the office. And all of his buddies,8 are convicted felons...and he pardons one too.News people and arms do not use the language and sY things that Trump has...it is unprecedented.by any previous President Republican or Democrat.', 'So Be Sure Every Woman Gets Birth Control And That There are No rapes Or incest Can you do that?', ""Oops tubular pregnsncies, fallopian tubes rupture the fetus dies and the woman possibly will die from hemorrhaging. This is the case where an abortion is needed. Please get medically educated before you pair it some of this rubbish. I am not a big fan of abortion but sometimes it is medically necessary as our birth control pills and that is between the woman in the doctor and God not you and not some  guy in a suit behind a desk who's never given birth. I am the mother of five leave us alone!"", 'Have heard of tubular pregnancies?  The fetus will die , rubes rupture and kill tjev weer omsn. Please get medically educated before you parrot this crap.Abortion sometimes is sadly necessary .', ""Be sure all woman have access to birth control even if they cannot afford it. Make sure no one ever gets raped or the victim of incest so they don't need an abortion. Force men who rape or are promiscuous to have vasectomies. How about that? Sometimes an early abortion is necessary or if the romantic has other kids that need her band her life is at risk with the pregnsncy. It happens. "", ""Viagra is not medically necessary. For women birth control often is for fibroids ovarian cysts or because if they got pregnant again it could risk their health. So if Viagra is covered why wouldn't birth control ridiculous!"", ""One way to minimize abortions is to be sure all woman can get birth control. This is the main function of Planned Parenthood. And Republicans are trying to take away insurance coverage for birth control. If you don't like abortions which I'm not a big fan of you would support any way from all women to have birth control. You can't have it both ways just stupid .!"", 'No peoplecome here becaue propery is cheape. Theystill nee to py Ma.income ax if they work in Ma. ', 'Eric Bouley All false...geez where do you get this crap?', 'Your fault f you are not getting the facts or denying it..why?', 'Eric Bouley Please watch other networks other than Fox so you can get real information...there is so much I don not have time...OMG..denial does not work anymore...You look it up..yo or denying it!or fault f you are not gettimg thinf', 'Al Coffey What does that to do with Trumps horrible record as President? There are rioters and ;legit protesters..so..?! Are you concerned with the 8 felons associated with Trump and his campaign...oh no!!##**!! Are you stretching things ridiculously far as to blame Massachusetts people for ta protest that some people were badly behaved?...?LOL ya that is logical not! Keep talking.....ha.', 'Really?  I am third generation NH rrsudent, three generations that have stvrd,Army,Navy, Air Force Marines...men and woman\nWe do not le who Trump has done,  Democrats. I was supporting Sunanu  up until lately. Your comment of Ma. People vs NH people is absurd.', 'Then why has Trump voted by mail...even this time , Hippocrite . Liar.', ""Too much Fox.Listen to Trump as he talks of woman's body parts and his daughters breasts.Unfit!"", 'Carol Belanger They live here many professionals and pya our high property taxes which helps support our towns and state.', ""Always one I'll informed bigot in the group. By way...NH was originasly part of Massachusetts. Duh? "", 'Socialist agenda....have you ever taken unemplpyment?Social Secuity? Did you a accept the stimulus Check?All a form of socialism that many democratic countries due. There are forms of socialism that pools our tax money to help our people. That is not Commumism..or a Socialist . government.stop throwing and parroting words to try to demonize othrer...stupid.']",1
336,Pat Pickford,"['I have extra bags for anybody who has to drive by nauseous Trump sign, non absorbent.', 'Jerry Sickels The ones that survived a coat hanger or turpentine. STFU', 'Have him on strings with his daddy, the old man,  pulling them. “The Old Man of the Mountain” collapsed with the Republican Auhoritarian governor Benson, who is baby Sununu likened to in a cunning way. Paint the figure Orange like the puke he favors.', 'Our neighboring State Gov. Charlie Baker is an honorable, legitimate, good Republican not a clown like Trumpster baby Sununu.', nan, 'Fast talkin “bag of wind” like Trump is a “bag of shit”. Juvenile, his biggest thrill was in Office was partaking  in a School Bus Demolition Derby. That’s about his speed or manner it coincides with keeping us dumb not properly funding schools and trying to wreck our Public Schools. .Also no concern for the Environment, trashing it and waistling gas on a foolish derby. No concern for the Environment. Baby Sununu with the old man grabbing pristine public land for his? ski resort at Waterville Valley. With his Guard  like Gregg pulling strings. Obama thought Gregg would help everyone with a stimulus. Of course Gregg his Commerce nominee only had his business associates in mind. Fuck the people. Gregg dropped out.. Obama was a fool for the Republicans. Sununus’ are schisters - no scruples. The old man would fly his laundry home from D,C. to NH on the White House designated helicopter. He had to quit.                                           ', 'Lonny Brown Emmit said he got the lobyist for Northern Pass to be our Fish and Game Commissioner ,cunning. Save our environment!! ', nan, 'Ron Cunio 14% higher cost of living. Getting worse for grass roots. Last in aid to education for Higher Learning. Support your Governors Ski Resort. Keep cutting into public land for themselves. Pro Northern Pass fuck the environment and the scenic state. GFY.', nan, 'Sandra D\'Augustine Conservative; "" A Cheap bastard from your cheap god"".', 'Get Andru to bash Lonza at Pease for them being exempt from school funding. The Greggs have controlled that Public Facility for years to their benefit and corporate interest (trickle down).                                             A former mayor of Portsmouth once said;  ""They should roll the tarmac up and plant blue berrys there again"".                                  Also Water tankers not refuelers                                      We also need a people person (Democcrat) on the Pease Board.']",1
337,Patricia LaGasse-Kraft,"['He has a history of domestic violence. He has never held any political office, not in NH, not in Colorado. I have been posting news articles about him being investigated in Colorado and about his domestic violence issues, and also his DUI arrest which may or may not indicate a problem with alcohol. This guy has way too many defects of character to represent us as a U.S. Senator. He is way UNDER qualified.', 'Masks? Social Distancing? They must think they are immune! LOL  ', 'VOTE BLUE ALL THE WAY!!!', ""John Faulkner If you still support Trump you are just as evil as he is. Apparently Sununu does which makes him an evil person. Trump is a self admitted sexual predator!  He's a criminal and will end up in prison. You support him? SHAME ON YOU! "", ""His support of this evil monster means he agrees with locking children in cages separated from their families, destroying our environment, colluding with dictators, approving of the terrorists members of the white nationalists, and other Nazi type people, giving huge tax breaks to multi billionaires and millionaires, and approves of this president's sexual assaults that includes rape of a 13-yr-old child. That is our governor!!!  Are you really approving of a person like this?  Not to even mention his mishandling of this pandemic, his racism, and his ignorance of our constitution and his ignoring intelligence reports. The list is just endless. That is who our governor agrees with. And you want to vote for this guy? SHAME ON YOU!"", 'That $600 a week ended. The Republicans have voted against continuing it. There are still people who have been unemployed that are not able to go back to work yet. The state unemployment is much lower than $600 - more like $200 - 250 per week.', 'That $600 a week ended. The Republicans have voted against continuing it. There are still people who have been unemployed that are not able to go back to work yet. The state unemployment is much lower than $600 - more like $200 - 250 per week. ']",1
338,Patricia Snyder,"['What horror to see Colorado Corky and  Mowers tout their military experience as reasons to elect them. And still kiss up to Trump after he did nothing about Putin putting bounties on soldiers heads and call soldiers ""losers"" and ""suckers"".  If military experience is the only reason to elect them, we could pick any veteran. ', 'Elemis Baier OK. Elemis, they might have gotten new signs but they are the same people as 2016. Trump has not added to his base, he has actually lost some o his base. He never tried to appeal to the Americans who had not voted for him. He never got over 50 percent approval rating in his whole four years. He is a divider not an uniter.  ', 'Elemis Baier I really hope you are trying to be funny, tho I know it is a well known fact Trumpers are uneducated and uninformed.  And humorless.', 'Elemis Baier I really hope you are trying to be funny, tho I know it is a well known fact Trumpers are uneducated and uninformed.', ""By getting rid of the payroll tax Trump has doomed Social Security and Medicare. Many of the oldsters I know (I also am one) only watch Fox and don't have any idea of the truth. "", 'They are the same signs and houses from 2016. Trump has added no new voters. his old white racist ones have just become more entrenched.', 'Not nearly as embarrassing  as a president who was a draft dodger but calls the soldiers who fought ""suckers"" and the ones who died ""losers"".  ', 'Matt Weeden Troll your own party, they need to he cheered up.', 'Finally.', 'A genuine person of stature,  a doctor and a teacher. And then today we will have Melania, a nude dancer from Slovenia who just ""doesn\'t care\'""  And Eric Trump a rich kid who never worked for anyone but his father, never served his country but gets his kicks killing trophy animals and cutting of elephant tails. ', ""Democrats care about Americans and their voters. They don't pack them in to gyms to get sick and die. "", 'Gotta fix this in November.', 'New Hampshire Democratic Party I wish could, but I live in an apartment complex with no signs allowed.But I will tell other people but you must get it out.', 'Why do I not see Biden/ Dem signs anywhere. Rode along 125 in Epping today, tons of Repugs signs but not even one Dem sign. ', 'Christina Ruth Good idea. ', ""Jeff Foote We originals are just not Trumpers,  he pulled our New England rock bound decent conservative balanced budget moral  Republicans so out of kilter  we don't recognize it anymore."", 'Jeff Foote You are so very wrong. The people fleeing MA are the far right conservatives like Bill O\'Brien who left before he was indicted. Like many Republicans these days. They come to NH like the free staters  because of the Revolutionary War motto ""Live Free or Die"" which makes them think they can come here and live of the fruits of the people that actually pay the taxes in NH.  NH got the worse of the MA expats, the uneducated,  lazy ones.', 'Jeff Foote Such a typical foote in the mouth comment. ', 'The biggest hypocrites.  Party of ""family values""., \'pro-life\', limited government, pro-military, deficit hawks,  Laughable.  ', 'Colorado Corky, and Menacing Mowers. hope they all get it.', 'Trump moved the ""swamp"" with him from Trump tower. There has never been so many indicted members of an administration ever,  DeJoy is the next crooked shoe to fall.', 'Looks like a Corey Lewandowski twin.  Meanly mouthed tough guy.', 'Colorado Corky?    ', 'Better things to do, like cut my toenails.', 'Well the are living free and others are doing they dying.', ""Jared Parr Well I know I don't go to rallies,  or motorcycle races without  masks and then come back to my family and community and spread it around.  I am actually old enough to remember when we cared about others  And wearing a mask for a few hours wasn't the worst thing that had happened to me."", '\nMoral and morality.  Nice old fashioned  words that no one seems to care about anymore. ', ""I don't care if the  all get sick, but they will passing around to the decent people of this state."", 'That is what Republicans do..']",1
339,Patrick Latvis,"['Janet Jones Again......beating my head against a wall.  Your accusations are unfounded, incorrect, and a weak attempt to redirect a conversation about Trump being some sort of Russian asset.  I believed you said he was a spy - ridiculous!', ""Janet Jones The GIF suggests my frustration knowing that so many are so brainwashed they refuse to acknowledge anything which contradicts their beliefs.  I haven't lowered myself to personal attacks.  Have you read all the comments?"", 'Janet Jones Can\'t believe so many of you democrats fell for that hoax....so successfully brainwashed even Mueller concluding ""No Evidence of Collusion"" isn\'t enough to undo the damage!', 'OMG....still on the Russian Collusion cool aid huh?  ', ""Nathan Belanger That's is....that's the best you have?  Bahahahaaaaa!"", ""Carol Baker If this were 1939 Germany you'd be turning in your neighbors!"", 'Stephen Lucey Nope.....that was Biden!', ""Linda Bischoff Exactly! Any sane, rational, and independent thinking person should be outraged by the democrat's action these past 4 years."", ""Karen Violette Cubbison Actually, it's the democrats who are offering free stuff.  Desperate to win....beg, buy, steal or cheat!"", ""Michelle Blais Main .....I'm white and love my country and believe in American Exeptionalism....am I a white nationalist?  You say it like it's a bad thing, doing nothing but echo the talking points from CNN and MSNBC!  I read they were Antifa anarchists funded by George Soros and organized by Obama!  I suppose all the fires burning on the west coast are caused by the Climate Crisis too huh?"", 'Michelle Blais Main You mean the rioting and vandalism?  So you consider Antifa, those black mask wearing domestic terrorists, to be ""peaceful""?', ""Michelle Blais Main Stop drinking that cool aid Michelle, it's toxic and is clouding your judgement. Trump NEVER said it btw.  My son is a Marine and my daughter in law is in the Navy.  I NEVER would've supported my family serving under the previous administration!  Obama loved our Military like Holder loved the police!  "", 'Michelle Blais Main Typical lame democrat party and CNN talking point.  Trump has no authority to send federal marshals to restore law and order unless requested in writing by the governor of the state.  It\'s democrat run cities and states which are burning!  When the mayor orders the police to ""stand down"" they\'re effectively supporting the chaos and anarchy.', 'Terry Ward What? If Biden is ""your guy"" I suggest you reevaluate your concept of what it means to be racist.  Additionally, I have no intention of getting into some kind of pissing contest or resorting to the democrat\'s ad hominem approach to civil debate.  ', ""Terry Ward You've tested that hypothesis haven't you Terry?  Can't imagine anything more painful than voting for any of today's radical left democrats!"", ""I'll take ALL of them! I could shingle the house, make a new ice fishing shack, enjoy hours of target practice, stack them to support my Trump 2020 sign...."", '....and what ""dangerous agenda"" would that be....lawlessness, chaos, anarchy in our cities.....rioting, looting, destruction of property and human life?  Oh, that would be the democrats - desperate to regain power at any cost...beg, buy, lie, steal, or cheat!', 'I\'ll take law and order, and our Constitution over democrat\'s divisiveness, chaos, and anarchy any day.  When they promise to ""Fundamentally Transform"" our nation......we should believe them! ']",0
340,Patrick Nolan,"['I miss my beloved home state of NH. You all make me proud!', 'Brian Nolen', 'Brian Nolen', '#BidenHarris2020  Come on, New Hampshire! ']",1
341,Patti Dumore Connolly,"['Seriously...Democratic Party you are letting your cities  be destroyed. Obama gave 259 assault rifles to the cartel, 150 million dollars to Iran  “death to America” great leadership. Then of course we have Then Vice President Joe Biden’s son working for the communist government of China. We have Ukraine issue the Biden’s don’t want to discuss and Benghazi were Obama Clinton Rice Biden turn their backs on our embassy and 4 America died Keep dreaming. Let’s not forget the spying of the Trump Campaign that is against the law by the way. Trump 2020.']",0
342,Patty Anderson,"['New Hampshire U.S. Senator Maggie Hassan, a Democrat, issued a statement calling the ruling ""a victory for corporate special interests and a major blow to hard-working Americans.""', ""I'd rather pay higher taxes and have freedom..Live Free or Die ! I guess denying help to us financially,yet taking a 31,000 dollar pay raise for himself is his idea of freedom..Wouldn't you say!and he supports the Right to Work law..No unions..!"", nan, ""Really,he also vetoed any raises for us,while he took a thirty thousand dollar raise for himself!!!You're a Trumper right!!! Like Sununu says..at the end of the day..We love Trump..Asshat..!"", ""OMG..I can't believe he's my Governor.."", 'Hoping we can vote him OUT..']",1
343,Paul Bresnahan,"['Elizabeth Flores i have run multiple business, paying people living wage is minimum responsibility. ', 'Kevin Starkey no', 'So New Hampshire people are more depressed than Massachusetts people? 3.4 is almost 200 times lower than 9.3 . 90% of NRA members are in favor of reasonable gun control laws. President Trump supports red flag laws that Governor Sununu vetoed.', 'Dan Hirtle last I checked 3.4 is lower than 9.3 but you Trump guys have a problem with facts.', 'Dan Hirtle thanks for keeping expectations down for Biden in the debates. Basically if Biden doesn’t come out and drool all over himself he will be the winner. ', 'Dan Hirtle actually Massachusetts is, according to the FBI.', 'Ken Soucy if you can’t pay someone a living wage, you shouldn’t be in business. Paraphrasing FDR', 'Jordan Pratte how come other states that raised the minimum wage saw an increase in people’s standard of living?']",0
